Vectors,Accent
"[-2.60425476e+02  1.03237274e+02 -2.84446754e+01  3.83274384e+01
 -6.67833519e+00  3.73534417e+00  1.54626346e+00 -4.27620268e+00
  1.26049459e+00 -3.20382833e+00 -1.41067481e+00 -3.31372857e+00
 -2.71880698e+00  2.01676893e+00 -1.56629586e+00 -6.96887374e-01
 -2.24223232e+00 -1.66635013e+00  3.88706438e-02 -3.02697444e+00
  7.35244393e-01 -6.19204164e-01 -1.64596760e+00 -7.47436702e-01
  7.15453148e-01  1.09825790e+00  9.03640509e-01  1.26788425e+00
  2.65993625e-01  1.17084515e+00  5.49606383e-02 -4.40043330e-01
 -9.79974329e-01 -4.36639816e-01 -4.14488837e-02 -1.50279999e+00
 -6.21243417e-01 -5.11387922e-02  3.45677614e-01 -1.21400990e-01]",mandarin
"[-2.69902283e+02  1.11948898e+02 -4.31591320e+00  3.55141335e+01
  4.35126734e+00  2.27322793e+00 -2.80487800e+00 -3.02755260e+00
 -9.84535408e+00 -3.36933941e-01 -7.84980154e+00 -4.32604980e+00
 -9.95558357e+00  6.32837057e+00 -1.23188925e+01 -2.64994740e+00
 -3.87141228e+00 -4.83880663e+00 -5.63015604e+00 -3.06661987e+00
 -4.66401625e+00 -3.25850964e+00 -4.31253529e+00 -1.63655150e+00
 -4.88499641e+00 -1.05480030e-01 -2.32342696e+00 -1.41840327e+00
 -1.62076211e+00  2.14870587e-01 -8.21808994e-01  1.87138700e+00
  5.40375900e+00  6.42733288e+00  7.06650496e+00  7.06539059e+00
  5.06220627e+00  4.01861429e+00  2.80676198e+00  1.95633233e+00]",mandarin
"[-2.8246637e+02  1.2839099e+02 -2.1930697e+00  5.0616665e+01
 -8.2707319e+00 -1.9690316e+00 -1.7410818e+01 -6.7679876e-01
 -1.3163755e+01 -6.2287431e+00 -4.8351550e-01 -1.5396509e+00
 -3.3500824e+00 -9.3029928e+00  1.4920596e+00 -1.2069574e+01
 -8.8380212e-01 -5.2318873e+00 -4.9342594e+00 -6.3157159e-01
 -5.8120565e+00 -7.4430346e+00 -5.2614217e+00 -3.3426254e+00
 -6.8797536e+00 -8.7174833e-01 -6.4895458e+00 -4.3277507e+00
 -2.2844927e+00 -2.8055258e+00  2.0048292e+00  1.7709000e+00
  9.4605225e-01  2.7801013e+00  2.8736618e+00  3.5437989e+00
  4.2369637e+00  1.2182646e-01  6.8643588e-01 -3.6734273e+00]",mandarin
"[-2.4523143e+02  1.1489797e+02  2.3576395e+01  3.3734879e+01
  1.9257902e+00  3.3815691e+00 -7.4086103e+00  8.1231451e+00
 -2.6932878e+00  3.1008291e+00 -1.6147838e+00  3.1542599e+00
 -4.9796443e+00  5.1537371e+00 -8.9130611e+00  2.4793534e+00
 -2.3043222e+00  1.3963557e+00 -2.1412003e+00 -3.3499699e+00
 -5.2926648e-01 -3.8419902e+00 -2.3372622e+00  9.5756942e-01
 -2.5673027e+00  1.3447156e+00 -9.3970907e-01  7.9200155e-01
 -2.0229490e+00  8.3555087e-02  5.4422420e-01 -4.2340520e-01
 -1.8393147e-01  1.6753221e+00  6.8046860e-02  9.7237170e-01
  3.4534707e+00  2.7080407e+00  3.8344188e+00  3.5308299e+00]",mandarin
"[-2.7273169e+02  1.2472275e+02  6.5085502e+00  3.2410282e+01
  9.5061903e+00  8.1882973e+00 -1.0550810e+01  9.7078389e-01
 -5.7636528e+00 -2.4525964e+00 -7.5426283e+00  9.6684704e+00
 -1.1748679e+01  6.3169208e+00  1.4374824e+00 -5.3318720e+00
  3.2740993e+00 -6.3988733e-01 -1.0347605e+00  3.0626283e+00
 -2.2000290e-01  3.8090814e-02  8.7227523e-01 -1.2577063e+00
 -2.2230110e+00  8.2611161e-01 -4.4333873e+00 -2.2006731e+00
 -1.4346831e+00  5.0286990e-01 -2.2788484e+00  4.1678314e+00
  4.8454919e+00  6.9957213e+00  5.7940292e+00  4.7432103e+00
  3.9475462e+00  1.5099225e+00  1.7799809e+00  1.0325671e+00]",mandarin
"[-3.4956204e+02  9.2570206e+01 -7.3013625e+00  2.8545086e+01
 -5.1775193e+00 -6.8241267e+00 -1.9879461e+01 -6.8674426e+00
 -1.7336529e+01 -5.4164829e+00 -1.0719246e+01 -5.9401727e+00
  2.2666790e+00 -8.5981293e+00  4.1183624e+00 -1.6854252e+01
 -6.9923091e+00 -6.6954861e+00 -7.8912401e+00  1.2602841e+00
 -7.3879824e+00 -3.6620870e+00 -6.9469771e+00 -2.3784711e+00
 -4.5590906e+00 -3.9436824e+00  6.7562298e-03 -3.7193077e+00
 -1.1847389e+00 -1.8552775e+00 -1.8976519e+00 -2.6680326e-01
  1.9005474e+00  4.4671164e+00  3.6440635e+00  3.4556277e+00
  2.9275789e+00  9.7259796e-01  2.9580359e+00  1.2286080e+00]",mandarin
"[-2.6336584e+02  8.3392639e+01 -6.7158303e+00  4.8582355e+01
 -1.8269760e+01  9.6843138e+00  3.7914762e+00 -9.7697449e+00
  6.2858372e+00  4.0774584e+00 -8.7826672e+00  6.6903601e+00
 -1.0818002e+01  1.1510378e+01 -9.1390524e+00  2.7646532e+00
 -3.7582219e+00  2.6886768e+00 -2.6341197e+00  2.7604115e+00
 -4.5040255e+00 -1.3788630e+00 -1.1361623e+00  3.0052894e-01
 -2.1844881e+00  3.8404167e+00 -8.2784578e-02  3.0314291e+00
  2.9626284e+00  4.0830188e+00  3.2517188e+00  3.9307585e+00
  2.6019890e+00  3.6708965e+00  4.2326584e+00  3.2126722e+00
  2.1381805e+00  3.6422937e+00  3.4807887e+00  3.0143061e+00]",mandarin
"[-272.20255      93.584175      9.181688     30.627016      1.9722848
   -1.8085648   -21.480173     -7.9931965    -3.0258415    -5.7763243
   -3.435887      5.9953547   -15.260966      2.1858253   -11.603414
   -5.718884     -2.5729265    -5.6495075    -5.9818254     0.49739248
  -12.478837     -1.1478027     2.100406     -2.5803282    -1.1524768
    2.6516788    -2.8776996     1.4948721     3.0251093     2.4137065
    2.135914      7.317605      4.5964546     7.0123415     5.091428
    2.9437838     4.1147757     1.1321021     2.2448752     1.225991  ]",mandarin
"[-280.58987     141.37714      16.28336      23.61108       2.3884623
   12.915109     -5.1496773    -2.9878695     4.655418     -0.41664952
   -5.4970264     2.3231876    -3.76596       8.5613165    -6.2873244
   -1.1930227    -0.63174516   -5.804004     -5.7365756    -3.1815069
   -1.2163618    -3.370165      4.983316      0.97776693    3.3477933
    8.334997      7.578672      7.549731      8.189823      5.155634
    5.3811073     0.9267104    -0.98866814    0.8794236    -3.2758472
   -1.6228735    -3.6693132    -3.312222     -2.1709995    -0.9446428 ]",mandarin
"[-2.6075272e+02  5.8539864e+01  3.0065472e+01  3.5455711e+01
  5.7053041e+00  2.3803614e+01 -6.7152038e+00  1.5713687e+01
 -1.0115691e+01  1.3893366e+01 -1.0905260e+01  1.2371842e+01
 -4.1151733e+00  1.0193391e+01 -4.6081619e+00  1.2208180e+01
 -7.4766655e+00  1.1841390e+01 -2.8999434e+00  5.7983694e+00
 -1.1301603e+00  6.4809446e+00 -6.5574151e-01  2.5359502e+00
 -1.5620047e+00  4.5455604e+00 -3.2274714e+00 -1.1711175e+00
 -5.8502693e+00  2.8044860e+00 -3.4476624e+00 -5.6697315e-01
 -4.1009316e+00  1.9524769e-01 -2.6809556e+00 -1.8084017e+00
 -8.4762901e-01 -1.2132742e-01 -3.0121317e+00 -8.0696994e-01]",mandarin
